# 2
#     -182.5         5        72  1
#     -182.5         5        72  1

 -180 -180  2.24908
 -180 -175  2.29582
 -180 -170  2.38295
 -180 -165  2.50473
 -180 -160  2.67731
 -180 -155  2.87672
 -180 -150  3.08571
 -180 -145  3.26571
 -180 -140  3.4972
 -180 -135  3.70267
 -180 -130  3.88512
 -180 -125  4.09956
 -180 -120  4.25117
 -180 -115  4.41221
 -180 -110  4.55097
 -180 -105  4.66235
 -180 -100  4.76862
 -180 -95  4.9024
 -180 -90  5.02607
 -180 -85  5.12936
 -180 -80  5.25275
 -180 -75  5.35759
 -180 -70  5.46374
 -180 -65  5.62573
 -180 -60  5.79081
 -180 -55  6.0144
 -180 -50  6.34641
 -180 -45  6.72899
 -180 -40  7.1571
 -180 -35  7.70573
 -180 -30  8.30191
 -180 -25  8.97677
 -180 -20  9.60923
 -180 -15  10.2878
 -180 -10  10.8473
 -180 -5  11.3181
 -180 0  11.5166
 -180 5  11.5422
 -180 10  11.428
 -180 15  11.1879
 -180 20  10.8606
 -180 25  10.5213
 -180 30  10.1452
 -180 35  9.83445
 -180 40  9.55155
 -180 45  9.2991
 -180 50  9.0767
 -180 55  8.91502
 -180 60  8.73005
 -180 65  8.54321
 -180 70  8.40151
 -180 75  8.23342
 -180 80  8.02105
 -180 85  7.83064
 -180 90  7.58904
 -180 95  7.30995
 -180 100  7.03241
 -180 105  6.73658
 -180 110  6.35068
 -180 115  5.98324
 -180 120  5.62039
 -180 125  5.23747
 -180 130  4.8382
 -180 135  4.42124
 -180 140  3.99414
 -180 145  3.6178
 -180 150  3.27108
 -180 155  2.95822
 -180 160  2.72178
 -180 165  2.50563
 -180 170  2.34443
 -180 175  2.26991

 -175 -180  1.71169
 -175 -175  1.76084
 -175 -170  1.85869
 -175 -165  1.99807
 -175 -160  2.18651
 -175 -155  2.40496
 -175 -150  2.63111
 -175 -145  2.7998
 -175 -140  3.04333
 -175 -135  3.26551
 -175 -130  3.45846
 -175 -125  3.65841
 -175 -120  3.8214
 -175 -115  3.98312
 -175 -110  4.14212
 -175 -105  4.28388
 -175 -100  4.3907
 -175 -95  4.52635
 -175 -90  4.62141
 -175 -85  4.69513
 -175 -80  4.81118
 -175 -75  4.91631
 -175 -70  5.03575
 -175 -65  5.19229
 -175 -60  5.35253
 -175 -55  5.62279
 -175 -50  5.94138
 -175 -45  6.34296
 -175 -40  6.80183
 -175 -35  7.341
 -175 -30  7.93403
 -175 -25  8.5818
 -175 -20  9.19417
 -175 -15  9.79564
 -175 -10  10.2796
 -175 -5  10.6495
 -175 0  10.7581
 -175 5  10.686
 -175 10  10.5011
 -175 15  10.2238
 -175 20  9.86964
 -175 25  9.55836
 -175 30  9.22528
 -175 35  8.95207
 -175 40  8.72194
 -175 45  8.49225
 -175 50  8.25071
 -175 55  8.10845
 -175 60  7.9343
 -175 65  7.74867
 -175 70  7.6019
 -175 75  7.4376
 -175 80  7.2175
 -175 85  7.05752
 -175 90  6.8154
 -175 95  6.53677
 -175 100  6.25272
 -175 105  5.96831
 -175 110  5.58512
 -175 115  5.22113
 -175 120  4.85512
 -175 125  4.47374
 -175 130  4.10245
 -175 135  3.73888
 -175 140  3.3615
 -175 145  2.95606
 -175 150  2.64837
 -175 155  2.32612
 -175 160  2.07856
 -175 165  1.88931
 -175 170  1.76014
 -175 175  1.70783

 -170 -180  1.26915
 -170 -175  1.34837
 -170 -170  1.48
 -170 -165  1.62665
 -170 -160  1.82785
 -170 -155  2.04475
 -170 -150  2.27217
 -170 -145  2.46403
 -170 -140  2.70553
 -170 -135  2.90198
 -170 -130  3.08482
 -170 -125  3.28663
 -170 -120  3.45675
 -170 -115  3.61562
 -170 -110  3.773
 -170 -105  3.93092
 -170 -100  4.01384
 -170 -95  4.13568
 -170 -90  4.23281
 -170 -85  4.30881
 -170 -80  4.41951
 -170 -75  4.53951
 -170 -70  4.70256
 -170 -65  4.86384
 -170 -60  5.01423
 -170 -55  5.31123
 -170 -50  5.60915
 -170 -45  5.9906
 -170 -40  6.48853
 -170 -35  6.99953
 -170 -30  7.61715
 -170 -25  8.23929
 -170 -20  8.83004
 -170 -15  9.35817
 -170 -10  9.76304
 -170 -5  10.0035
 -170 0  10.039
 -170 5  9.88634
 -170 10  9.66016
 -170 15  9.38759
 -170 20  9.04511
 -170 25  8.75961
 -170 30  8.42774
 -170 35  8.14471
 -170 40  7.9347
 -170 45  7.7225
 -170 50  7.50788
 -170 55  7.37951
 -170 60  7.19251
 -170 65  7.01237
 -170 70  6.87842
 -170 75  6.72611
 -170 80  6.50579
 -170 85  6.35186
 -170 90  6.10011
 -170 95  5.81861
 -170 100  5.5244
 -170 105  5.27487
 -170 110  4.93719
 -170 115  4.58457
 -170 120  4.21102
 -170 125  3.84699
 -170 130  3.45946
 -170 135  3.08219
 -170 140  2.73385
 -170 145  2.35405
 -170 150  2.08873
 -170 155  1.78895
 -170 160  1.56061
 -170 165  1.41396
 -170 170  1.30626
 -170 175  1.25133

 -165 -180  0.925121
 -165 -175  1.03575
 -165 -170  1.19271
 -165 -165  1.37872
 -165 -160  1.57127
 -165 -155  1.77973
 -165 -150  1.97839
 -165 -145  2.18856
 -165 -140  2.43835
 -165 -135  2.63449
 -165 -130  2.83741
 -165 -125  3.03191
 -165 -120  3.19635
 -165 -115  3.35685
 -165 -110  3.50219
 -165 -105  3.63816
 -165 -100  3.7024
 -165 -95  3.83794
 -165 -90  3.97097
 -165 -85  4.06806
 -165 -80  4.16806
 -165 -75  4.26073
 -165 -70  4.41631
 -165 -65  4.56995
 -165 -60  4.74817
 -165 -55  5.07322
 -165 -50  5.39103
 -165 -45  5.78243
 -165 -40  6.28973
 -165 -35  6.77606
 -165 -30  7.40544
 -165 -25  7.99144
 -165 -20  8.53229
 -165 -15  8.97981
 -165 -10  9.29269
 -165 -5  9.40871
 -165 0  9.35721
 -165 5  9.13285
 -165 10  8.89008
 -165 15  8.62044
 -165 20  8.30479
 -165 25  8.04207
 -165 30  7.72151
 -165 35  7.46352
 -165 40  7.27145
 -165 45  7.09583
 -165 50  6.90288
 -165 55  6.74508
 -165 60  6.56495
 -165 65  6.41194
 -165 70  6.25352
 -165 75  6.09245
 -165 80  5.88174
 -165 85  5.7069
 -165 90  5.48989
 -165 95  5.2342
 -165 100  4.94783
 -165 105  4.68005
 -165 110  4.37759
 -165 115  4.03177
 -165 120  3.66471
 -165 125  3.35667
 -165 130  2.96875
 -165 135  2.57542
 -165 140  2.24999
 -165 145  1.90687
 -165 150  1.64424
 -165 155  1.39234
 -165 160  1.17617
 -165 165  1.0479
 -165 170  0.978579
 -165 175  0.904809

 -160 -180  0.780273
 -160 -175  0.885273
 -160 -170  1.04578
 -160 -165  1.24365
 -160 -160  1.40123
 -160 -155  1.62302
 -160 -150  1.81559
 -160 -145  2.02711
 -160 -140  2.26873
 -160 -135  2.471
 -160 -130  2.68927
 -160 -125  2.88462
 -160 -120  3.01611
 -160 -115  3.18759
 -160 -110  3.34824
 -160 -105  3.47973
 -160 -100  3.55964
 -160 -95  3.68297
 -160 -90  3.78358
 -160 -85  3.87569
 -160 -80  3.99216
 -160 -75  4.09974
 -160 -70  4.26072
 -160 -65  4.43342
 -160 -60  4.65066
 -160 -55  4.95187
 -160 -50  5.25583
 -160 -45  5.65055
 -160 -40  6.15218
 -160 -35  6.64732
 -160 -30  7.25443
 -160 -25  7.77644
 -160 -20  8.24229
 -160 -15  8.60815
 -160 -10  8.80982
 -160 -5  8.84053
 -160 0  8.74653
 -160 5  8.5167
 -160 10  8.27614
 -160 15  7.99333
 -160 20  7.66821
 -160 25  7.41343
 -160 30  7.13005
 -160 35  6.90143
 -160 40  6.69659
 -160 45  6.53629
 -160 50  6.33703
 -160 55  6.17201
 -160 60  6.01429
 -160 65  5.87298
 -160 70  5.71998
 -160 75  5.56418
 -160 80  5.37177
 -160 85  5.17188
 -160 90  4.92757
 -160 95  4.71245
 -160 100  4.46584
 -160 105  4.18334
 -160 110  3.89076
 -160 115  3.56351
 -160 120  3.20622
 -160 125  2.91455
 -160 130  2.54437
 -160 135  2.20106
 -160 140  1.90808
